Length
1,2,3,4,5,6,7,8
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0

Design
6,2,10,2,2,2,2,2
11,6,11,11,5,11,10,5
13,11,14,12,6,14,14,10
14,14,16,14,14,19,16,11
16,20,19,16,16,20,20,13
20,21,20,20,19,21,21,14
21,22,21,21,20,22,22,20
22,27,22,22,21,24,24,21
28,28,27,28,22,28,28,22
33,34,28,31,28,33,34,28
36,36,36,36,36,36,36,36
39,39,39,39,39,39,39,39

expected score
1,2,3,4,5,6,7,8
0.5546980613337577,0.5502088087461803,0.54278194852497,0.5902707172246681,0.5387982741904808,0.5263758687342166,0.578669878689235,0.5310646816082755
Categorical variables
DOMAIN
1, 4, 4, 3, 4, 4, 4, 4, 3
3, 4, 3, 4, 4, 3, 4, 4, 4
2, 3, 3, 3, 3, 3, 3, 3, 3
4, 1, 2, 2, 1, 2, 1, 1, 2

Item use
14,8.0
20,8.0
21,8.0
22,8.0
28,8.0
36,8.0
39,8.0
2,6.0
11,6.0
16,5.0
6,3.0
10,3.0
19,3.0
5,2.0
13,2.0
24,2.0
27,2.0
33,2.0
34,2.0
12,1.0
31,1.0
1,0.0
3,0.0
4,0.0
7,0.0
8,0.0
9,0.0
15,0.0
17,0.0
18,0.0
23,0.0
25,0.0
26,0.0
29,0.0
30,0.0
32,0.0
35,0.0
37,0.0
38,0.0
